OG_ID,Error,MSA_N_Seqs,MSA_Length,APSI_Ungapped,MSA_Mean_Col_Entropy,Tree_PD_TotalBranchLength,Tree_N_Tips,Tree_Hill_Diversity_q1,Tree_Hill_Diversity_q1_NormByTips,Mean_TMscore,Median_TMscore,StdDev_TMscore,Mean_RMSD,Median_RMSD,StdDev_RMSD,Mean_TM_Level,StdDev_TM_Level,Structural_Profile,OG_Size_Bin,Marker_Size,Mean_Num_Domains,Mean_Percent_Disorder,Dominant_IPR,Dominant_IPR_Name,Domain_Architecture,Conservation_Category
OG0000372.ASG,,306,424,34.7855,2.152,70.2368,306.0,125.1041,0.4088,0.9510052287581701,0.951,0.02448849297669605,1.4998692810457515,1.66,0.4354731046866165,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,201-500,16,1.9958333333333333,0.07175529096495957,IPR010426|IPR038601,Unknown,IPR010426|IPR038601,Structurally Rigid
OG0000629.ASG,,259,128,26.776,2.4839,72.7077,259.0,88.8454,0.343,0.8852058479532164,0.8862,0.04375264658563335,1.5940935672514618,1.6,0.3713151072077855,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,201-500,16,2.0,0.14321266841698843,IPR004127|IPR009053,Unknown,IPR004127|IPR009053,Structurally Rigid
OG0000693.ASG,,236,160,31.8406,2.3232,83.8546,236.0,101.5822,0.4304,0.8837171428571429,0.8917,0.055168775061244874,1.6104761904761904,1.55,0.47162236554011694,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,201-500,16,1.854054054054054,0.10382054720883534,IPR004114|IPR040183,Unknown,IPR004114|IPR040183,Structurally Rigid
OG0000722.ASG,,236,173,33.7324,2.1671,66.642,236.0,111.4982,0.4725,0.8928575,0.90415,0.06405766527974958,1.2615,1.27,0.4206270828859488,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,201-500,16,1.0,0.0744085312345679,IPR002802,Protein of unknown function DUF99,IPR002802,High-Diversity Rigid
OG0000738.ASG,,217,308,26.2473,2.6192,94.9597,217.0,102.0452,0.4703,0.8870051470588235,0.8934,0.05094703614372544,2.0336029411764707,2.11,0.4409042438983568,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,201-500,16,2.0364963503649633,0.10019307110373443,IPR036388,Winged helix-like DNA-binding domain superfamily,IPR036388|IPR036390,High-Diversity Rigid
OG0000916.ASG,,188,139,34.8723,2.2538,74.2515,188.0,102.0809,0.543,0.8963560606060607,0.8931,0.031576579094628805,1.9039393939393938,1.955,0.44134019248326506,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,50-200,12,1.9580838323353293,0.08061024216243655,IPR000182|IPR016181,Unknown,IPR000182|IPR016181,High-Diversity Rigid
OG0000919.ASG,,188,150,34.8742,2.2237,70.907,188.0,73.6895,0.392,0.8829499999999999,0.8855500000000001,0.04019848670451829,1.653,1.6400000000000001,0.253379381779795,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,50-200,12,2.5522388059701493,0.09435519425888324,IPR003593|IPR004948|IPR027417,Unknown,IPR003593|IPR004948|IPR027417,Structurally Rigid
OG0000992.ASG,,167,248,34.0051,2.2179,56.5208,167.0,72.016,0.4312,0.9260555555555555,0.9025,0.04697759405753283,1.342,1.13,0.6809238376847095,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,50-200,12,0.0,0.10204735564804468,,Unknown,Unknown,Structurally Rigid
OG0001024.ASG,,168,263,33.8767,2.1316,48.964,168.0,79.8321,0.4752,0.91675,0.89695,0.05011356410885488,1.5524242424242423,1.67,0.6734642029343746,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,50-200,12,,0.1371836058662791,,Unknown,Unknown,High-Diversity Rigid
OG0001098.ASG,,156,80,29.3644,2.2105,64.9147,156.0,46.7494,0.2997,0.897942857142857,0.9007499999999999,0.04466322896034294,1.3964285714285716,1.4,0.3421848567521307,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,50-200,12,1.6779661016949152,0.15171749501282053,IPR036390,Winged helix DNA-binding domain superfamily,IPR036390,Structurally Rigid
OG0001129.ASG,,149,123,29.9015,2.2517,45.7694,149.0,63.6712,0.4273,0.8819380952380953,0.8665,0.06309855367748522,1.7004761904761905,1.85,0.6631099169102828,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,50-200,12,0.5925925925925926,0.09998700190728477,IPR036259,MFS transporter superfamily,IPR036259,Structurally Rigid
OG0001157.ASG,,126,363,34.944,2.1143,41.5747,126.0,37.2048,0.2953,0.8904,0.8765000000000001,0.05390801689650883,2.344102564102564,2.63,0.6818546821176839,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,50-200,12,1.3,0.09896979288965517,IPR027417,P-loop containing nucleoside triphosphate hydrolase,IPR027417,Structurally Rigid
OG0001214.ASG,,129,186,24.0269,2.6184,57.6963,129.0,59.5422,0.4616,0.8847816666666667,0.8678,0.050376758652427536,1.8666666666666667,2.0549999999999997,0.5302486071968259,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,50-200,12,2.0,0.10472129794852941,IPR007159|IPR037914,Unknown,IPR007159|IPR037914,High-Diversity Rigid
OG0001232.ASG,,125,136,30.2949,2.3686,53.4533,125.0,61.8336,0.4947,0.8892380952380952,0.8768,0.058213696637393494,1.3757142857142857,1.25,0.45290806383383625,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,50-200,12,1.8958333333333333,0.08620235835338347,IPR002716|IPR029060,Unknown,IPR002716|IPR029060,High-Diversity Rigid
OG0001252.ASG,,117,375,34.0029,2.3121,61.025,117.0,55.5992,0.4752,0.9435044444444445,0.9579,0.030345929452620764,1.5120000000000002,1.44,0.432217327489098,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,50-200,12,3.5161290322580645,0.0792379449,IPR001347|IPR019490|IPR035484|IPR046348,Unknown,IPR001347|IPR019490|IPR035484|IPR046348,High-Diversity Rigid
OG0001279.ASG,,120,300,31.5808,2.2196,37.6942,120.0,39.4346,0.3286,0.9027190476190476,0.9461,0.06043524318679971,1.7338095238095237,1.63,0.468758745950155,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,50-200,12,1.0,0.08178796884126983,IPR027417,P-loop containing nucleoside triphosphate hydrolase,IPR027417,Structurally Rigid
OG0001387.ASG,,78,404,33.2315,2.0848,27.3038,78.0,21.1138,0.2707,0.9153666666666668,0.8911,0.04642858315018165,1.36,1.69,0.6331666447310693,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,50-200,12,3.3692307692307693,0.08779084552678572,IPR029052,Metallo-dependent phosphatase-like,IPR004843;IPR008334;IPR029052;IPR036907,Structurally Rigid
